ordinal	Shift-JIS	HTML	Japanese	English	Tag
#1143	\x{F998}	&#63896;	もうやだ〜(悲しい顔)			
#1144	\x{F999}	&#63897;	ふらふら			
#1145	\x{F99A}	&#63898;	グッド(上向き矢印)			
#1146	\x{F99B}	&#63899;	るんるん			
#1147	\x{F99C}	&#63900;	いい気分(温泉)			
#1148	\x{F99D}	&#63901;	かわいい			
#1149	\x{F99E}	&#63902;	キスマーク			
#1150	\x{F99F}	&#63903;	ぴかぴか(新しい)			
#1151	\x{F9A0}	&#63904;	ひらめき			
#1152	\x{F9A1}	&#63905;	むかっ(怒り)			
#1153	\x{F9A2}	&#63906;	パンチ			
#1154	\x{F9A3}	&#63907;	爆弾			
#1155	\x{F9A4}	&#63908;	ムード			
#1156	\x{F9A5}	&#63909;	バッド(下向き矢印)			
#1157	\x{F9A6}	&#63910;	眠い(睡眠)			
#1158	\x{F9A7}	&#63911;	exclamation			
#1159	\x{F9A8}	&#63912;	exclamation&question			
#1160	\x{F9A9}	&#63913;	exclamation×2			
#1161	\x{F9AA}	&#63914;	どんっ(衝撃)			
#1162	\x{F9AB}	&#63915;	あせあせ(飛び散る汗)			
#1163	\x{F9AC}	&#63916;	たらーっ(汗)			
#1164	\x{F9AD}	&#63917;	ダッシュ(走り出すさま)			
#1165	\x{F9AE}	&#63918;	ー(長音記号１)			
#1166	\x{F9AF}	&#63919;	ー(長音記号２)			
#1167	\x{F950}	&#63824;	カチンコ			
#1168	\x{F951}	&#63825;	ふくろ			
#1169	\x{F952}	&#63826;	ペン			
#1170	\x{F955}	&#63829;	人影			
#1171	\x{F956}	&#63830;	いす			
#1172	\x{F957}	&#63831;	夜			
#1173	\x{F95B}	&#63835;	SOON			
#1174	\x{F95C}	&#63836;	ON			
#1175	\x{F95D}	&#63837;	end			
#1176	\x{F95E}	&#63838;	時計			
#1177	\x{F9B1}	&#63921;	ｉアプリ			
#1178	\x{F9B2}	&#63922;	ｉアプリ			
#1179	\x{F9B3}	&#63923;	Tシャツ(ボーダー)			
#1180	\x{F9B4}	&#63924;	財布			
#1181	\x{F9B5}	&#63925;	化粧			
#1182	\x{F9B6}	&#63926;	ジーンズ			
#1183	\x{F9B7}	&#63927;	スノボ			
#1184	\x{F9B8}	&#63928;	チャペル			
#1185	\x{F9B9}	&#63929;	ドア			
#1186	\x{F9BA}	&#63930;	ドル袋			
#1187	\x{F9BB}	&#63931;	パソコン			
#1188	\x{F9BC}	&#63932;	ラブレター			
#1189	\x{F9BD}	&#63933;	レンチ			
#1190	\x{F9BE}	&#63934;	鉛筆			
#1191	\x{F9BF}	&#63935;	王冠			
#1192	\x{F9C0}	&#63936;	指輪			
#1193	\x{F9C1}	&#63937;	砂時計			
#1194	\x{F9C2}	&#63938;	自転車			
#1195	\x{F9C3}	&#63939;	湯のみ			
#1196	\x{F9C4}	&#63940;	腕時計			
#1197	\x{F9C5}	&#63941;	考えてる顔			
#1198	\x{F9C6}	&#63942;	ほっとした顔			
#1199	\x{F9C7}	&#63943;	冷や汗			
#1200	\x{F9C8}	&#63944;	冷や汗2			
#1201	\x{F9C9}	&#63945;	ぷっくっくな顔			
#1202	\x{F9CA}	&#63946;	ボケーっとした顔			
#1203	\x{F9CB}	&#63947;	目がハート			
#1204	\x{F9CC}	&#63948;	指でOK			
#1205	\x{F9CD}	&#63949;	あっかんべー			
#1206	\x{F9CE}	&#63950;	ウィンク			
#1207	\x{F9CF}	&#63951;	うれしい顔			
#1208	\x{F9D0}	&#63952;	がまん顔			
#1209	\x{F9D1}	&#63953;	猫2			
#1210	\x{F9D2}	&#63954;	泣き顔			
#1211	\x{F9D3}	&#63955;	涙			
#1212	\x{F9D4}	&#63956;	NG			
#1213	\x{F9D5}	&#63957;	クリップ			
#1214	\x{F9D6}	&#63958;	コピーライト			
#1215	\x{F9D7}	&#63959;	トレードマーク			
#1216	\x{F9D8}	&#63960;	走る人			
#1217	\x{F9D9}	&#63961;	マル秘			
#1218	\x{F9DA}	&#63962;	リサイクル			
#1219	\x{F9DB}	&#63963;	レジスタードトレードマーク			
#1220	\x{F9DC}	&#63964;	危険・警告			
#1221	\x{F9DD}	&#63965;	禁止			
#1222	\x{F9DE}	&#63966;	空室・空席・空車			
#1223	\x{F9DF}	&#63967;	合格マーク			
#1224	\x{F9E0}	&#63968;	満室・満席・満車			
#1225	\x{F9E1}	&#63969;	矢印左右			
#1226	\x{F9E2}	&#63970;	矢印上下			
#1227	\x{F9E3}	&#63971;	学校			
